Nanogrid 1,Nanogrid 2,Nanogrid 3,Nanogrid 4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0005697780584279082,0,0,0
0.002868386147246606,0,0,0
0.004278495476882729,0,0,0
0.002993412314379225,0,0,0
1.4404897504686001e-06,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0016564216906464263,0,0,0
0.006826691039153801,0,0,0
0.0006207295148413445,0,0,0
5.947139172612741e-06,0,0,0
2.984906130065225e-06,0,0,0
6.566799147591802e-07,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.000124930293491497,0,0,0
0.005830016026563287,0,0,0
0.0072531116434055125,0,0,0
0.002614621197537913,0,0,0
1.0237940811962803e-05,0,0,0
7.905770172633893e-06,0,0,0
4.24354720889638e-06,0,0,0
5.161835699525261e-07,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.00040828430960457974,0,0,0
0.0044687543461974745,0,0,0
0.00472122236316639,0,0,0
0.005126028395397762,0,0,0
7.653492573759385e-06,0,0,0
5.621454417735136e-06,0,0,0
2.924351550237774e-06,0,0,0
3.388725210433808e-07,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0007616376855358991,0,0,0
0.003952669431054669,0,0,0
0.0030117159309146144,0,0,0
6.736377548013928e-06,0,0,0
1.6171769047466922e-06,0,0,0
0,0,6.008361629246135e-08,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0023009347538357583,0,0,0
3.950710925994986e-05,0,0,0
0.0016844029938819787,0,0,0
0.003873209450164018,0,0,0
2.6876260785409223e-06,0,0,0
1.3932134738572216e-06,0,0,0
7.4495268976969e-05,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.001078136969909816,0,0,0
0.0020575338497891707,0,0,0
0.0027827574350461994,0,0,0
0.0027303956225116464,0,0,0
0.0009709208484931183,0,0,0
3.8472256921830063e-08,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
