Nanogrid 1,Nanogrid 2,Nanogrid 3,Nanogrid 4
-2.5705841792546993e-15,-1.6917793407591534e-09,-4.51240078872533e-09,-4.512382984499427e-09
-2.5705841792546993e-15,-2.1916207783673503e-09,-3.89143880703101e-09,-3.8914238285864175e-09
-2.5705841792546993e-15,-2.212948250737421e-09,-3.1784220170947826e-09,-3.178408980732231e-09
-2.5705841792546993e-15,-2.5991374461176086e-09,-5.179839982892205e-09,-5.179820136594597e-09
-2.748219348405646e-15,-2.934927757643758e-09,-6.523252391066089e-09,-6.523228185384494e-09
-1.0178756854070305e-07,-2.7806852419566156e-09,-6.246646663233117e-09,-6.246623654191535e-09
-2.865432772729997e-07,-3.5798623348709096e-09,-5.380000541130746e-09,-5.379980175293355e-09
-2.5705841792546993e-15,-4.067709535558891e-09,-6.570444705060986e-09,-5.354228048547661e-09
-1.5735344621480508e-09,-4.911267375557774e-09,-1.8725302544900862e-08,-7.506173777628527e-09
-9.647647681978099e-08,-6.365846608982389e-09,-4.5568644875805e-08,-1.1479132365512899e-08
-2.8999701296700817e-07,-6.016734642185501e-09,-4.324504528890586e-08,-1.0440058383957247e-08
-4.138754254897825e-08,-6.0833496272719094e-09,-1.2251748234180991e-07,-9.854040494892565e-09
0,-0.0005697885384372024,-1.237078753447901e-07,-1.0951542268655654e-08
0,-0.002868645236589081,-1.7977198876939146e-07,-1.3512376873709035e-08
0,-7.057806373771164e-09,-0.00122184189356664,-0.0030571935987748723
0,-0.0022728111547452787,-0.0007143294811163032,0
0,-6.947204297993842e-09,0,0
-1.1643542164748433e-07,-6.655997702726616e-09,-1.2824458599960196e-08,-1.2720989736927533e-08
-9.392715452110005e-10,-8.981951450621572e-09,-1.1307451701134649e-08,-1.1307409222695927e-08
-2.5705841792546993e-15,-8.873023090237568e-09,-9.988750897426619e-09,-9.988714007374658e-09
-2.5705841792546993e-15,-8.189724988459878e-09,-7.75552232369661e-09,-7.75549345366937e-09
-2.5705841792546993e-15,-5.889725741466698e-09,-7.318593471365782e-09,-7.3185643155838455e-09
-2.5705841792546993e-15,-6.437209501457121e-09,-9.201525336889226e-09,-9.20149095919415e-09
-2.5705841792546993e-15,-2.010503214731049e-09,-5.015744408968384e-09,-5.015726252429922e-09
-2.5705841792546993e-15,-2.1698495683943786e-09,-3.3710558032753855e-09,-3.371043700223155e-09
-2.5705841792546993e-15,-2.202025581542799e-09,-2.9575042416597834e-09,-2.957492626503328e-09
-2.5705841792546993e-15,-2.724605208449009e-09,-5.456190829767732e-09,-5.456171088987642e-09
-2.5705841792546993e-15,-1.6416040477760145e-09,-5.023501204127943e-09,-5.023482744881951e-09
-2.5705835671853555e-15,-2.863711887829423e-09,-4.822611648171252e-09,-4.822591761894452e-09
-3.510942253179832e-08,-2.9909280443043068e-09,-7.33729605210133e-09,-7.337267756711982e-09
-2.7035019232717054e-07,-4.212683703997413e-09,-7.092378689884771e-09,-7.094218390134521e-09
-8.902979392530214e-08,-5.052550303473845e-09,-8.678272466010961e-09,-7.663949127888085e-09
-2.3825541644623215e-09,-8.777363196525734e-09,-2.6015251202866756e-08,-1.0094039383869727e-08
-6.657293349850638e-08,-8.46284735368612e-09,-8.832034515725326e-08,-1.1605281757721875e-08
-3.7811455235035743e-07,-7.681808749493947e-09,-9.433525942810912e-08,-1.208325801244198e-08
0,-0.0016566229257647558,-1.8609576669064457e-07,-9.375404319654221e-09
0,-0.0043727619655817415,-0.002454902193848707,-1.2744017630748163e-08
0,0,-0.000112169324104673,-0.0005006657479707361
0,0,0,0
0,0,0,0
0,-7.2538346753730425e-09,-1.152706988268733e-08,0
-3.2772671242201486e-07,-7.66475615179596e-09,-9.138212542583166e-09,-9.13858941026007e-09
-4.876030198584193e-08,-1.0702176587691427e-08,-1.0931420125820848e-08,-1.0931377734920199e-08
-2.570583566604027e-15,-1.1386433831288038e-08,-1.2264070210649155e-08,-1.2264023875528916e-08
-2.5705841792546993e-15,-1.1114337390547898e-08,-1.0100448985000468e-08,-1.0100410107088064e-08
-2.5705841792546993e-15,-9.11727502350488e-09,-8.953106883876166e-09,-8.95307221021459e-09
-2.5705841792546993e-15,-5.714507060509774e-09,-7.63075616060591e-09,-7.630727793068231e-09
-2.5705841792546993e-15,-3.955635036264794e-09,-2.832271795775071e-09,-2.832261449543958e-09
-2.5705841792546993e-15,-3.032852016776497e-09,-2.043890864699497e-09,-2.043882690431221e-09
-2.5705841792546993e-15,-2.9884923167136572e-09,-4.334195504886156e-09,-4.334179690286752e-09
-2.5705841792546993e-15,-3.426497022739243e-09,-5.012424633465054e-09,-5.012405898492935e-09
-2.5705841792546993e-15,-3.2235561312119845e-09,-5.9286795938454265e-09,-5.928658033024011e-09
-2.5705835657056797e-15,-3.2614110107676107e-09,-5.463341685428048e-09,-5.463321805833775e-09
-1.9193760483068275e-11,-4.397719260461751e-09,-5.4794299498907215e-09,-5.479408266798592e-09
-2.6816056861597863e-15,-3.518895137914078e-09,-7.715627838352669e-09,-7.715599195334639e-09
-6.694713236589653e-08,-3.70413555647822e-09,-8.811438597300423e-09,-7.77231968443429e-09
-3.75299531499152e-09,-4.584067415163228e-09,-1.223288156359723e-08,-7.754567701627223e-09
0,-6.698523969692718e-06,-0.00011825404633771852,-7.910270705793718e-09
0,-0.005050541912192938,-0.0007804519608161823,-1.0222951667015292e-08
0,-9.325421241483488e-09,-0.005697304744725255,-0.0015572314591165363
0,-0.0010608370509349178,-0.001545217011810901,0
0,0,0,0
0,0,0,0
0,0,0,0
