Time,1,2,3,4,5,6,7,8
01/01/18 00,0,19.48515,11.65193333,10.0017,27.35128333,1.168666667,126.8340833,0
01/01/18 01,0,13,13,2.166733333,11.48345,11.91675,124.9178,0
01/01/18 02,0,13,11.48345,12.78335,12.1334,12.5667,164.9168333,0
01/01/18 03,0,10.4002,9.9669,11.91675,12.78335,13,187.7667667,0
01/01/18 04,0,12.78335,12.5667,4.550133333,11.2668,13,144.4168833,0.000566667
01/01/18 05,0,11.2668,11.7001,0,9.750166667,11.91675,157.0006,2353.506122
01/01/18 06,0,4.116766667,8.016716667,0,0,3.0334,188.00025,3948.662728
01/01/18 07,0,0,0,0,0,0,232.20065,615.8811092
01/01/18 08,0,0,0,0,0,0,244.8335167,0.001
01/01/18 09,0,0,0,0,0,0,306.28425,2261.855238
01/01/18 10,0,0,0,0,0,0,319.3673833,3954.007586
01/01/18 11,0,1.67E-05,0,0,0,0,305.90105,1455.539045
01/01/18 12,0,2.268016667,0.268483333,0.00055,27.002,6.1346,328.6843667,0.002533333
01/01/18 13,0,6.935516667,16.40225,2.935333333,5.002683333,40.33531667,305.0002167,0
01/01/18 14,0,10.00036667,0.0002,8.33E-05,0.000716667,0.000783333,305,0
01/01/18 15,0,0,0,0,0,0,305.0007167,73.55796437
01/01/18 16,0,0,0,0,0,0,338.335,0.001716667
01/01/18 17,0,0,0,0,0,0.000283333,401.9180333,2517.150555
01/01/18 18,0,0.000433333,31.36811667,10.4001,3.33E-05,1.168966667,422.7509,226.0893396
01/01/18 19,121.3333333,11.73535,17.7023,13.31806667,8.8673,4.703116667,347.5684167,0
01/01/18 20,1236.434833,38.15311667,10.96926667,27.58556667,20.80255,34.4193,204.1858833,0
01/01/18 21,1602.6669,29.10328333,15.25391667,37.71958333,42.68678333,39.10311667,294.63455,0
01/01/18 22,1336.001083,59.83635,45.73618333,64.8516,36.83626667,43.5694,234.1512833,0
01/01/18 23,1326,28.97053333,15.71973333,27.00255,10.41815,19.6524,139.6011833,0
02/01/18 00,0,2.134966667,2.568116667,19.61861667,7.001616667,12.78506667,160.7009667,0
02/01/18 01,0,10.40006667,11.7001,10.8335,6.0667,12.78335,154.0004167,0
02/01/18 02,0,11.2668,12.5667,12.78335,13,12.35005,169.7501667,0
02/01/18 03,0,12.5667,13,12.78335,13,13,178.7673667,0
02/01/18 04,0,5.633383333,11.48345,12.1334,11.48345,13,188.40025,0.000783333
02/01/18 05,0,0,2.600016667,6.716783333,3.33E-05,12.5667,204.9502167,1382.253394
02/01/18 06,0,0,0,0,0,7.150133333,197.3504833,3835.47538
02/01/18 07,0,0,0,0,0,0,195.41715,2201.085354
02/01/18 08,0,0,0,0,0,0,301.2684333,0.00155
02/01/18 09,0,0,0,0,0,0,375.8514,1849.589705
02/01/18 10,0,0,0,0,0,0,381.0185833,4512.968392
02/01/18 11,0,0,0,0,0,0,380.0513667,2514.354185
02/01/18 12,0,1.868266667,3.0689,10.53443333,23.40083333,0.0012,256.9198833,80.91355162
02/01/18 13,0,0.0021,60.20165,3.869016667,16.9351,0.6694,330.6178333,0.00055
02/01/18 14,0,0,9.3337,10.00071667,0.00035,9.6672,302.7003333,0
02/01/18 15,0,0,0,0,0,0,287.1176667,0.0004
02/01/18 16,0,0.0001,0,0.267183333,0,3.33E-05,335.7009333,118.3924078
02/01/18 17,0,1.633816667,1.67E-05,4,0,3.0669,331.78445,4222.878561
02/01/18 18,0,5.467366667,8.884533333,4.000816667,4.867133333,1.801933333,357.1017167,1628.947239
02/01/18 19,133.0333333,52.38561667,14.98548333,19.10223333,16.61731667,7.068366667,331.2519833,0.0006
02/01/18 20,1311.001717,32.7869,17.95373333,28.30223333,22.30191667,42.83548333,226.61965,0
02/01/18 21,1619.3334,18.77081667,30.76985,41.17025,62.03611667,62.70236667,196.7359167,0
