date,EUseful
21/05/90 00:00,0
21/05/90 01:00,0
21/05/90 02:00,0
21/05/90 03:00,0
21/05/90 04:00,0
21/05/90 05:00,0
21/05/90 06:00,0
21/05/90 07:00,0.3515
21/05/90 08:00,1.0676
21/05/90 09:00,1.861
21/05/90 10:00,1.8256
21/05/90 11:00,3.3833
21/05/90 12:00,3.4681
21/05/90 13:00,4.1106
21/05/90 14:00,3.0646
21/05/90 15:00,1.2274
21/05/90 16:00,0.981
21/05/90 17:00,0.1025
21/05/90 18:00,0
21/05/90 19:00,0
21/05/90 20:00,0
21/05/90 21:00,0
21/05/90 22:00,0
21/05/90 23:00,0
22/05/90 00:00,0
22/05/90 01:00,0
22/05/90 02:00,0
22/05/90 03:00,0
22/05/90 04:00,0
22/05/90 05:00,0
22/05/90 06:00,0.0057
22/05/90 07:00,0.321
22/05/90 08:00,1.2718
22/05/90 09:00,2.7918
22/05/90 10:00,2.8908
22/05/90 11:00,4.2374
22/05/90 12:00,2.7374
22/05/90 13:00,3.0473
22/05/90 14:00,1.6492
22/05/90 15:00,1.5679
22/05/90 16:00,0.0707
22/05/90 17:00,0.0033
22/05/90 18:00,0
22/05/90 19:00,0
22/05/90 20:00,0
22/05/90 21:00,0
22/05/90 22:00,0
22/05/90 23:00,0
23/05/90 00:00,0
23/05/90 01:00,0
23/05/90 02:00,0
23/05/90 03:00,0
23/05/90 04:00,0
23/05/90 05:00,0
23/05/90 06:00,0
23/05/90 07:00,0.3249
23/05/90 08:00,0.6745
23/05/90 09:00,0.6837
23/05/90 10:00,0.6941
23/05/90 11:00,1.4897
23/05/90 12:00,1.4036
23/05/90 13:00,1.4612
23/05/90 14:00,1.9587
23/05/90 15:00,1.246
23/05/90 16:00,0.2235
23/05/90 17:00,0.0033
23/05/90 18:00,0
23/05/90 19:00,0
23/05/90 20:00,0
23/05/90 21:00,0
23/05/90 22:00,0
23/05/90 23:00,0
24/05/90 00:00,0
24/05/90 01:00,0
24/05/90 02:00,0
24/05/90 03:00,0
24/05/90 04:00,0
24/05/90 05:00,0
24/05/90 06:00,0
24/05/90 07:00,0.1224
24/05/90 08:00,0.5236
24/05/90 09:00,0.9328
24/05/90 10:00,1.7668
24/05/90 11:00,2.4982
24/05/90 12:00,3.8172
24/05/90 13:00,2.9264
24/05/90 14:00,1.7914
24/05/90 15:00,1.9142
24/05/90 16:00,1.8384
24/05/90 17:00,0.4284
24/05/90 18:00,0
24/05/90 19:00,0
24/05/90 20:00,0
24/05/90 21:00,0
24/05/90 22:00,0
24/05/90 23:00,0
25/05/90 00:00,0
25/05/90 01:00,0
25/05/90 02:00,0
25/05/90 03:00,0
25/05/90 04:00,0
25/05/90 05:00,0
25/05/90 06:00,0
25/05/90 07:00,0.2254
25/05/90 08:00,1.5352
25/05/90 09:00,3.1677
25/05/90 10:00,4.0312
25/05/90 11:00,4.4015
25/05/90 12:00,4.386
25/05/90 13:00,4.0617
25/05/90 14:00,3.5205
25/05/90 15:00,2.7026
25/05/90 16:00,1.5648
25/05/90 17:00,0.3999
25/05/90 18:00,0
25/05/90 19:00,0
25/05/90 20:00,0
25/05/90 21:00,0
25/05/90 22:00,0
25/05/90 23:00,0
26/05/90 00:00,0
26/05/90 01:00,0
26/05/90 02:00,0
26/05/90 03:00,0
26/05/90 04:00,0
26/05/90 05:00,0
26/05/90 06:00,0
26/05/90 07:00,0.2418
26/05/90 08:00,1.4494
26/05/90 09:00,2.9917
26/05/90 10:00,3.8118
26/05/90 11:00,4.1724
26/05/90 12:00,4.1987
26/05/90 13:00,3.9678
26/05/90 14:00,3.4357
26/05/90 15:00,2.6237
26/05/90 16:00,1.5167
26/05/90 17:00,0.3988
26/05/90 18:00,0
26/05/90 19:00,0
26/05/90 20:00,0
26/05/90 21:00,0
26/05/90 22:00,0
26/05/90 23:00,0
27/05/90 00:00,0
27/05/90 01:00,0
27/05/90 02:00,0
27/05/90 03:00,0
27/05/90 04:00,0
27/05/90 05:00,0
27/05/90 06:00,0
27/05/90 07:00,0.2669
27/05/90 08:00,1.3962
27/05/90 09:00,2.9585
27/05/90 10:00,3.7421
27/05/90 11:00,3.4819
27/05/90 12:00,3.4049
27/05/90 13:00,2.5936
27/05/90 14:00,2.5899
27/05/90 15:00,2.0246
27/05/90 16:00,1.2167
27/05/90 17:00,0.4055
27/05/90 18:00,0
27/05/90 19:00,0
27/05/90 20:00,0
27/05/90 21:00,0
27/05/90 22:00,0
27/05/90 23:00,0
